medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-05-09 11:34:31,Ubuntu 24.04,15.35,12.98,1.76,15.4,355,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
2,2026-05-09 11:34:51,Ubuntu 24.04,15.35,12.96,1.77,15.6,354,mysqld,1538,389.4,gnome-shell,2967,339.8,snap-store,3301,178.2
3,2026-05-09 11:35:11,Ubuntu 24.04,15.35,12.96,1.77,15.6,354,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
4,2026-05-09 11:35:31,Ubuntu 24.04,15.35,12.96,1.77,15.6,354,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
5,2026-05-09 11:35:51,Ubuntu 24.04,15.35,12.96,1.76,15.5,354,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
6,2026-05-09 11:36:11,Ubuntu 24.04,15.35,12.97,1.76,15.5,355,mysqld,1538,389.4,gnome-shell,2967,339.4,snap-store,3301,178.2
7,2026-05-09 11:36:31,Ubuntu 24.04,15.35,12.97,1.76,15.5,353,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
8,2026-05-09 11:36:51,Ubuntu 24.04,15.35,12.97,1.76,15.5,325,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
9,2026-05-09 11:37:11,Ubuntu 24.04,15.35,12.96,1.76,15.5,325,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
10,2026-05-09 11:37:31,Ubuntu 24.04,15.35,12.97,1.76,15.5,325,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
11,2026-05-09 11:37:51,Ubuntu 24.04,15.35,12.97,1.76,15.5,325,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
12,2026-05-09 11:38:11,Ubuntu 24.04,15.35,12.97,1.76,15.5,325,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
13,2026-05-09 11:38:31,Ubuntu 24.04,15.35,12.98,1.76,15.4,325,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
14,2026-05-09 11:38:51,Ubuntu 24.04,15.35,12.98,1.76,15.4,317,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
15,2026-05-09 11:39:11,Ubuntu 24.04,15.35,12.98,1.75,15.4,317,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
16,2026-05-09 11:39:31,Ubuntu 24.04,15.35,12.99,1.75,15.4,317,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
17,2026-05-09 11:39:51,Ubuntu 24.04,15.35,12.98,1.76,15.4,316,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
18,2026-05-09 11:40:11,Ubuntu 24.04,15.35,12.98,1.76,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
19,2026-05-09 11:40:31,Ubuntu 24.04,15.35,12.97,1.77,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
20,2026-05-09 11:40:51,Ubuntu 24.04,15.35,12.97,1.77,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
21,2026-05-09 11:41:11,Ubuntu 24.04,15.35,12.97,1.77,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
22,2026-05-09 11:41:31,Ubuntu 24.04,15.35,12.97,1.77,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
23,2026-05-09 11:41:51,Ubuntu 24.04,15.35,12.97,1.77,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
24,2026-05-09 11:42:11,Ubuntu 24.04,15.35,12.98,1.76,15.4,318,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
25,2026-05-09 11:42:31,Ubuntu 24.04,15.35,12.98,1.76,15.4,318,mysqld,1538,389.4,gnome-shell,2967,339.5,snap-store,3301,178.2
26,2026-05-09 11:42:51,Ubuntu 24.04,15.35,12.97,1.76,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
27,2026-05-09 11:43:11,Ubuntu 24.04,15.35,12.97,1.77,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
28,2026-05-09 11:43:31,Ubuntu 24.04,15.35,12.97,1.77,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
29,2026-05-09 11:43:51,Ubuntu 24.04,15.35,12.97,1.76,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
30,2026-05-09 11:44:11,Ubuntu 24.04,15.35,12.97,1.76,15.5,318,mysqld,1538,389.4,gnome-shell,2967,339.6,snap-store,3301,178.2
