medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-04-13 15:12:58,Ubuntu 24.04,15.35,12.68,2.08,17.4,342,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
2,2026-04-13 15:13:03,Ubuntu 24.04,15.35,12.71,2.06,17.2,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
3,2026-04-13 15:13:08,Ubuntu 24.04,15.35,12.72,2.04,17.1,343,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
4,2026-04-13 15:13:13,Ubuntu 24.04,15.35,12.73,2.04,17.1,343,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
5,2026-04-13 15:13:18,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.0,gnome-software,20831,276.6
6,2026-04-13 15:13:23,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
7,2026-04-13 15:13:28,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
8,2026-04-13 15:13:33,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
9,2026-04-13 15:13:38,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
10,2026-04-13 15:13:43,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
11,2026-04-13 15:13:48,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
12,2026-04-13 15:13:53,Ubuntu 24.04,15.35,12.74,2.02,17.0,344,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
13,2026-04-13 15:13:58,Ubuntu 24.04,15.35,12.74,2.03,17.0,344,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
14,2026-04-13 15:14:03,Ubuntu 24.04,15.35,12.74,2.03,17.0,344,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
15,2026-04-13 15:14:08,Ubuntu 24.04,15.35,12.74,2.03,17.0,344,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
16,2026-04-13 15:14:13,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
17,2026-04-13 15:14:18,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
18,2026-04-13 15:14:23,Ubuntu 24.04,15.35,12.74,2.03,17.0,342,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
19,2026-04-13 15:14:28,Ubuntu 24.04,15.35,12.74,2.03,17.0,342,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
20,2026-04-13 15:14:33,Ubuntu 24.04,15.35,12.75,2.02,17.0,342,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
21,2026-04-13 15:14:38,Ubuntu 24.04,15.35,12.74,2.02,17.0,342,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
22,2026-04-13 15:14:43,Ubuntu 24.04,15.35,12.74,2.02,17.0,342,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
23,2026-04-13 15:14:48,Ubuntu 24.04,15.35,12.74,2.02,17.0,342,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
24,2026-04-13 15:14:53,Ubuntu 24.04,15.35,12.75,2.02,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
25,2026-04-13 15:14:58,Ubuntu 24.04,15.35,12.74,2.02,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
26,2026-04-13 15:15:03,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
27,2026-04-13 15:15:08,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
28,2026-04-13 15:15:13,Ubuntu 24.04,15.35,12.73,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
29,2026-04-13 15:15:18,Ubuntu 24.04,15.35,12.74,2.03,17.0,343,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
30,2026-04-13 15:15:23,Ubuntu 24.04,15.35,12.74,2.03,17.0,344,mysqld,1565,389.3,gnome-shell,20596,360.2,gnome-software,20831,276.6
31,2026-04-13 15:15:28,Ubuntu 24.04,15.35,12.73,2.03,17.0,344,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
32,2026-04-13 15:15:33,Ubuntu 24.04,15.35,12.74,2.03,17.0,344,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
33,2026-04-13 15:15:38,Ubuntu 24.04,15.35,12.74,2.03,17.0,344,mysqld,1565,389.3,gnome-shell,20596,360.1,gnome-software,20831,276.6
