medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-05-09 11:49:25,Ubuntu 24.04,7.5,3.38,4.12,55.0,338,chrome,4291,467.4,code,5959,466.2,code,4590,463.6
2,2026-05-09 11:49:46,Ubuntu 24.04,7.5,3.32,4.18,55.7,334,code,4590,493.6,chrome,4291,468.5,code,5959,463.0
3,2026-05-09 11:50:06,Ubuntu 24.04,7.5,3.36,4.15,55.3,335,code,4590,493.0,chrome,4291,468.3,code,5959,463.0
4,2026-05-09 11:50:26,Ubuntu 24.04,7.5,3.4,4.11,54.7,312,code,4590,492.9,chrome,4291,468.9,code,5959,462.9
5,2026-05-09 11:50:46,Ubuntu 24.04,7.5,3.4,4.1,54.7,312,code,4590,492.9,chrome,4291,469.2,code,5959,462.9
6,2026-05-09 11:51:06,Ubuntu 24.04,7.5,3.39,4.11,54.8,309,code,4590,492.9,chrome,4291,470.5,code,5959,462.9
7,2026-05-09 11:51:26,Ubuntu 24.04,7.5,3.4,4.1,54.7,307,code,4590,492.9,chrome,4291,471.0,code,5959,449.3
8,2026-05-09 11:51:46,Ubuntu 24.04,7.5,3.41,4.1,54.6,307,code,4590,492.9,chrome,4291,472.3,code,5959,445.6
9,2026-05-09 11:52:06,Ubuntu 24.04,7.5,3.42,4.08,54.4,305,code,4590,492.9,chrome,4291,474.2,code,5959,445.6
10,2026-05-09 11:52:26,Ubuntu 24.04,7.5,3.42,4.08,54.4,304,code,4590,492.9,chrome,4291,476.3,code,5959,445.6
11,2026-05-09 11:52:46,Ubuntu 24.04,7.5,3.42,4.08,54.4,304,code,4590,493.0,chrome,4291,477.5,code,5959,445.6
12,2026-05-09 11:53:06,Ubuntu 24.04,7.5,3.42,4.08,54.4,304,code,4590,493.0,chrome,4291,478.0,code,5959,444.5
13,2026-05-09 11:53:26,Ubuntu 24.04,7.5,3.42,4.08,54.4,303,code,4590,493.0,chrome,4291,479.3,code,5959,444.5
14,2026-05-09 11:53:47,Ubuntu 24.04,7.5,3.36,4.14,55.1,305,code,4590,493.0,chrome,4291,480.0,code,5959,444.5
15,2026-05-09 11:54:07,Ubuntu 24.04,7.5,3.38,4.13,55.0,305,code,4590,493.0,chrome,4291,480.0,code,5959,444.4
16,2026-05-09 11:54:27,Ubuntu 24.04,7.5,3.16,4.34,57.8,305,chrome,4291,496.3,code,4590,493.0,code,5959,444.4
17,2026-05-09 11:54:47,Ubuntu 24.04,7.5,3.27,4.23,56.4,304,chrome,4291,499.9,code,4590,493.0,code,5959,444.4
18,2026-05-09 11:55:07,Ubuntu 24.04,7.5,3.33,4.18,55.7,303,code,4590,493.0,chrome,4291,491.9,code,5959,444.4
19,2026-05-09 11:55:27,Ubuntu 24.04,7.5,3.37,4.13,55.0,303,code,4590,493.1,chrome,4291,492.4,code,5959,444.4
20,2026-05-09 11:55:47,Ubuntu 24.04,7.5,3.37,4.13,55.0,302,code,4590,493.1,chrome,4291,490.0,code,5959,444.4
21,2026-05-09 11:56:07,Ubuntu 24.04,7.5,3.37,4.13,55.0,300,code,4590,493.1,chrome,4291,483.1,code,5959,444.4
22,2026-05-09 11:56:27,Ubuntu 24.04,7.5,3.37,4.13,55.1,300,code,4590,493.1,chrome,4291,482.8,code,5959,444.4
23,2026-05-09 11:56:47,Ubuntu 24.04,7.5,3.37,4.13,55.1,300,code,4590,493.1,chrome,4291,483.6,code,5959,444.4
24,2026-05-09 11:57:07,Ubuntu 24.04,7.5,3.37,4.13,55.1,300,code,4590,493.1,chrome,4291,483.0,code,5959,444.4
25,2026-05-09 11:57:27,Ubuntu 24.04,7.5,3.37,4.14,55.1,300,code,4590,493.1,chrome,4291,483.2,code,5959,444.4
26,2026-05-09 11:57:48,Ubuntu 24.04,7.5,3.37,4.14,55.1,300,code,4590,493.1,chrome,4291,484.7,code,5959,444.4
27,2026-05-09 11:58:08,Ubuntu 24.04,7.5,3.36,4.14,55.1,300,code,4590,493.1,chrome,4291,484.1,code,5959,444.4
28,2026-05-09 11:58:28,Ubuntu 24.04,7.5,3.36,4.14,55.1,300,code,4590,493.1,chrome,4291,485.1,code,5959,444.4
29,2026-05-09 11:58:48,Ubuntu 24.04,7.5,3.31,4.19,55.8,302,code,4590,493.1,chrome,4291,492.9,code,5959,444.4
30,2026-05-09 11:59:08,Ubuntu 24.04,7.5,3.3,4.2,56.0,302,chrome,4291,493.4,code,4590,493.2,code,5959,444.4
