medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-04-13 16:54:37,Ubuntu 24.04,7.5,3.85,3.66,48.7,298,code,3873,524.0,code,5349,489.1,code,4249,460.9
2,2026-04-13 16:54:42,Ubuntu 24.04,7.5,3.86,3.64,48.5,298,code,3873,519.6,code,5349,488.9,code,4249,460.3
3,2026-04-13 16:54:47,Ubuntu 24.04,7.5,3.87,3.63,48.4,298,code,3873,518.5,code,5349,488.9,code,4249,460.1
4,2026-04-13 16:54:52,Ubuntu 24.04,7.5,3.87,3.63,48.4,298,code,3873,518.5,code,5349,488.9,code,4249,460.1
5,2026-04-13 16:54:57,Ubuntu 24.04,7.5,3.87,3.63,48.4,298,code,3873,518.5,code,5349,488.9,code,4249,460.1
6,2026-04-13 16:55:02,Ubuntu 24.04,7.5,3.88,3.63,48.3,298,code,3873,518.8,code,5349,488.9,code,4249,461.5
7,2026-04-13 16:55:08,Ubuntu 24.04,7.5,3.87,3.63,48.4,299,code,3873,519.1,code,5349,488.9,code,4249,461.3
8,2026-04-13 16:55:13,Ubuntu 24.04,7.5,3.87,3.63,48.4,298,code,3873,518.7,code,5349,488.9,code,4249,461.3
9,2026-04-13 16:55:18,Ubuntu 24.04,7.5,3.87,3.63,48.5,298,code,3873,518.7,code,5349,488.9,code,4249,461.3
10,2026-04-13 16:55:23,Ubuntu 24.04,7.5,3.87,3.63,48.4,298,code,3873,518.8,code,5349,488.9,code,4249,461.3
11,2026-04-13 16:55:28,Ubuntu 24.04,7.5,3.87,3.64,48.5,296,code,3873,518.8,code,5349,488.9,code,4249,461.4
12,2026-04-13 16:55:33,Ubuntu 24.04,7.5,3.87,3.63,48.4,298,code,3873,520.3,code,5349,488.9,code,4249,461.4
13,2026-04-13 16:55:38,Ubuntu 24.04,7.5,3.87,3.63,48.3,299,code,3873,519.3,code,5349,488.9,code,4249,461.4
14,2026-04-13 16:55:43,Ubuntu 24.04,7.5,3.87,3.63,48.4,299,code,3873,522.3,code,5349,488.9,code,4249,461.4
15,2026-04-13 16:55:48,Ubuntu 24.04,7.5,3.88,3.62,48.3,299,code,3873,522.3,code,5349,488.9,code,4249,461.4
16,2026-04-13 16:55:53,Ubuntu 24.04,7.5,3.87,3.63,48.4,298,code,3873,518.9,code,5349,488.9,code,4249,461.4
17,2026-04-13 16:55:58,Ubuntu 24.04,7.5,3.88,3.63,48.3,298,code,3873,519.2,code,5349,488.9,code,4249,461.4
18,2026-04-13 16:56:03,Ubuntu 24.04,7.5,3.88,3.62,48.3,298,code,3873,519.1,code,5349,488.9,code,4249,461.4
19,2026-04-13 16:56:08,Ubuntu 24.04,7.5,3.89,3.62,48.2,298,code,3873,519.5,code,5349,488.9,code,4249,461.5
20,2026-04-13 16:56:13,Ubuntu 24.04,7.5,3.88,3.62,48.2,297,code,3873,519.6,code,5349,488.9,code,4249,461.4
21,2026-04-13 16:56:18,Ubuntu 24.04,7.5,3.88,3.62,48.3,297,code,3873,519.4,code,5349,488.9,code,4249,461.4
22,2026-04-13 16:56:24,Ubuntu 24.04,7.5,3.87,3.63,48.4,294,code,3873,519.7,code,5349,488.9,code,4249,461.4
23,2026-04-13 16:56:29,Ubuntu 24.04,7.5,3.87,3.63,48.4,294,code,3873,519.9,code,5349,488.9,code,4249,461.5
24,2026-04-13 16:56:34,Ubuntu 24.04,7.5,3.87,3.63,48.4,294,code,3873,521.4,code,5349,488.9,code,4249,461.4
25,2026-04-13 16:56:39,Ubuntu 24.04,7.5,3.87,3.63,48.4,294,code,3873,520.4,code,5349,488.9,code,4249,461.4
26,2026-04-13 16:56:44,Ubuntu 24.04,7.5,3.87,3.63,48.4,294,code,3873,520.2,code,5349,488.9,code,4249,461.4
27,2026-04-13 16:56:49,Ubuntu 24.04,7.5,3.87,3.63,48.4,294,code,3873,520.1,code,5349,488.9,code,4249,461.4
28,2026-04-13 16:56:54,Ubuntu 24.04,7.5,3.87,3.63,48.4,291,code,3873,520.4,code,5349,488.9,code,4249,461.4
29,2026-04-13 16:56:59,Ubuntu 24.04,7.5,3.87,3.63,48.4,291,code,3873,520.3,code,5349,488.9,code,4249,461.4
30,2026-04-13 16:57:04,Ubuntu 24.04,7.5,3.88,3.62,48.3,291,code,3873,520.6,code,5349,488.9,code,4249,461.4
31,2026-04-13 16:57:09,Ubuntu 24.04,7.5,3.88,3.62,48.3,291,code,3873,520.7,code,5349,488.9,code,4249,461.4
32,2026-04-13 16:57:14,Ubuntu 24.04,7.5,3.87,3.63,48.4,291,code,3873,520.9,code,5349,488.9,code,4249,461.4
33,2026-04-13 16:57:19,Ubuntu 24.04,7.5,3.87,3.63,48.4,291,code,3873,520.9,code,5349,488.9,code,4249,461.4
34,2026-04-13 16:57:24,Ubuntu 24.04,7.5,3.87,3.64,48.5,291,code,3873,521.0,code,5349,488.9,code,4249,461.4
35,2026-04-13 16:57:29,Ubuntu 24.04,7.5,3.87,3.64,48.5,291,code,3873,520.9,code,5349,488.9,code,4249,461.4
36,2026-04-13 16:57:35,Ubuntu 24.04,7.5,3.86,3.64,48.5,291,code,3873,522.8,code,5349,488.9,code,4249,461.4
37,2026-04-13 16:57:40,Ubuntu 24.04,7.5,3.86,3.64,48.6,291,code,3873,521.2,code,5349,488.9,code,4249,461.4
38,2026-04-13 16:57:45,Ubuntu 24.04,7.5,3.86,3.64,48.5,291,code,3873,521.3,code,5349,488.9,code,4249,461.4
39,2026-04-13 16:57:50,Ubuntu 24.04,7.5,3.86,3.64,48.5,291,code,3873,521.6,code,5349,488.9,code,4249,461.4
40,2026-04-13 16:57:55,Ubuntu 24.04,7.5,3.87,3.63,48.4,291,code,3873,521.5,code,5349,488.9,code,4249,461.4
