medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-05-09 22:28:19,Windows 10.0.26200,7.84,2.12,5.72,73.0,238,steamwebhelper.exe,16052,397.4,EADesktop.exe,10140,307.4,MsMpEng.exe,4620,289.4
2,2026-05-09 22:28:40,Windows 10.0.26200,7.84,2.07,5.77,73.6,239,steamwebhelper.exe,16052,397.4,EADesktop.exe,10140,307.4,MsMpEng.exe,4620,293.4
3,2026-05-09 22:29:00,Windows 10.0.26200,7.84,2.41,5.43,69.3,238,steamwebhelper.exe,16052,393.4,EADesktop.exe,10140,303.1,MsMpEng.exe,4620,251.7
4,2026-05-09 22:29:20,Windows 10.0.26200,7.84,2.41,5.42,69.2,237,steamwebhelper.exe,16052,393.4,EADesktop.exe,10140,303.1,MsMpEng.exe,4620,269.0
5,2026-05-09 22:29:41,Windows 10.0.26200,7.84,2.41,5.43,69.3,235,steamwebhelper.exe,16052,393.4,EADesktop.exe,10140,303.1,MsMpEng.exe,4620,271.4
6,2026-05-09 22:30:01,Windows 10.0.26200,7.84,2.42,5.42,69.2,231,steamwebhelper.exe,16052,393.4,EADesktop.exe,10140,303.9,MsMpEng.exe,4620,271.5
7,2026-05-09 22:30:21,Windows 10.0.26200,7.84,2.43,5.41,69.0,231,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,303.9,MsMpEng.exe,4620,271.0
8,2026-05-09 22:30:41,Windows 10.0.26200,7.84,2.43,5.41,69.0,231,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,303.9,MsMpEng.exe,4620,254.0
9,2026-05-09 22:31:02,Windows 10.0.26200,7.84,2.42,5.42,69.1,231,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,303.8,MsMpEng.exe,4620,270.9
10,2026-05-09 22:31:22,Windows 10.0.26200,7.84,2.42,5.42,69.1,231,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,303.9,MsMpEng.exe,4620,270.9
11,2026-05-09 22:31:42,Windows 10.0.26200,7.84,2.42,5.42,69.2,233,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,303.9,MsMpEng.exe,4620,261.3
12,2026-05-09 22:32:02,Windows 10.0.26200,7.84,2.41,5.43,69.3,231,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,276.2
13,2026-05-09 22:32:23,Windows 10.0.26200,7.84,2.4,5.44,69.4,232,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,303.9,MsMpEng.exe,4620,276.4
14,2026-05-09 22:32:43,Windows 10.0.26200,7.84,2.39,5.45,69.5,231,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,260.2
15,2026-05-09 22:33:03,Windows 10.0.26200,7.84,2.36,5.48,69.9,232,steamwebhelper.exe,16052,393.9,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,264.3
16,2026-05-09 22:33:24,Windows 10.0.26200,7.84,2.32,5.52,70.4,238,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,276.9
17,2026-05-09 22:33:44,Windows 10.0.26200,7.84,2.3,5.54,70.6,230,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,290.5
18,2026-05-09 22:34:04,Windows 10.0.26200,7.84,2.18,5.65,72.1,236,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,291.9
19,2026-05-09 22:34:24,Windows 10.0.26200,7.84,2.07,5.77,73.6,242,MsMpEng.exe,4620,465.4,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0
20,2026-05-09 22:34:45,Windows 10.0.26200,7.84,2.31,5.53,70.5,234,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,265.6
21,2026-05-09 22:35:05,Windows 10.0.26200,7.84,2.3,5.54,70.7,234,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.1,MsMpEng.exe,4620,273.0
22,2026-05-09 22:35:25,Windows 10.0.26200,7.84,2.19,5.65,72.0,234,steamwebhelper.exe,16052,394.4,EADesktop.exe,10140,304.1,MsMpEng.exe,4620,273.7
23,2026-05-09 22:35:46,Windows 10.0.26200,7.84,2.15,5.69,72.6,236,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.1,MsMpEng.exe,4620,254.5
24,2026-05-09 22:36:06,Windows 10.0.26200,7.84,2.17,5.67,72.4,238,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,294.2
25,2026-05-09 22:36:26,Windows 10.0.26200,7.84,2.22,5.62,71.7,232,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,290.1
26,2026-05-09 22:36:46,Windows 10.0.26200,7.84,2.26,5.58,71.2,232,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,240.0
27,2026-05-09 22:37:07,Windows 10.0.26200,7.84,2.25,5.59,71.3,231,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,248.1
28,2026-05-09 22:37:27,Windows 10.0.26200,7.84,2.27,5.56,71.0,231,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.0,MsMpEng.exe,4620,247.5
29,2026-05-09 22:37:47,Windows 10.0.26200,7.84,2.24,5.6,71.5,231,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.1,MsMpEng.exe,4620,247.6
30,2026-05-09 22:38:07,Windows 10.0.26200,7.84,2.25,5.59,71.3,230,steamwebhelper.exe,16052,394.3,EADesktop.exe,10140,304.1,MsMpEng.exe,4620,258.8
