medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-05-09 11:23:38,Fedora Linux 44,15.13,12.28,2.86,18.9,436,dnf5daemon-server,6935,280.1,gnome-shell,37983,265.4,gnome-software,38474,212.9
2,2026-05-09 11:23:58,Fedora Linux 44,15.13,12.31,2.82,18.6,437,dnf5daemon-server,6935,280.1,gnome-shell,37983,265.3,gnome-software,38474,212.9
3,2026-05-09 11:24:18,Fedora Linux 44,15.13,12.32,2.81,18.6,437,dnf5daemon-server,6935,280.1,gnome-shell,37983,265.4,gnome-software,38474,212.9
4,2026-05-09 11:24:39,Fedora Linux 44,15.13,12.32,2.81,18.6,437,dnf5daemon-server,6935,280.1,gnome-shell,37983,265.4,gnome-software,38474,212.9
5,2026-05-09 11:24:59,Fedora Linux 44,15.13,12.43,2.7,17.8,437,gnome-shell,37983,265.3,gnome-software,38474,212.9,dnf5daemon-server,6935,171.0
6,2026-05-09 11:25:19,Fedora Linux 44,15.13,12.44,2.7,17.8,434,gnome-shell,37983,265.2,gnome-software,38474,212.9,dnf5daemon-server,6935,171.0
7,2026-05-09 11:25:39,Fedora Linux 44,15.13,12.44,2.69,17.8,433,gnome-shell,37983,265.4,gnome-software,38474,212.9,dnf5daemon-server,6935,171.0
8,2026-05-09 11:25:59,Fedora Linux 44,15.13,12.44,2.69,17.8,430,gnome-shell,37983,265.4,gnome-software,38474,212.9,dnf5daemon-server,6935,171.0
9,2026-05-09 11:26:19,Fedora Linux 44,15.13,12.44,2.69,17.8,429,gnome-shell,37983,265.2,gnome-software,38474,212.9,dnf5daemon-server,6935,171.0
10,2026-05-09 11:26:39,Fedora Linux 44,15.13,12.44,2.69,17.8,430,gnome-shell,37983,265.3,gnome-software,38474,212.9,dnf5daemon-server,6935,171.0
