medicao,timestamp,so,ram_total_gb,ram_disponivel_gb,ram_usada_gb,uso_percent,num_processos,top1_nome,top1_pid,top1_ram_mb,top2_nome,top2_pid,top2_ram_mb,top3_nome,top3_pid,top3_ram_mb
1,2026-05-09 12:37:51,Windows 10.0.26200,15.53,9.31,6.22,40.0,197,dwm.exe,1844,361.2,MsMpEng.exe,4880,280.4,explorer.exe,8516,218.6
2,2026-05-09 12:38:11,Windows 10.0.26200,15.53,9.34,6.19,39.9,195,dwm.exe,1844,356.4,MsMpEng.exe,4880,279.8,explorer.exe,8516,218.6
3,2026-05-09 12:38:32,Windows 10.0.26200,15.53,9.34,6.19,39.9,195,dwm.exe,1844,356.3,MsMpEng.exe,4880,279.3,explorer.exe,8516,218.5
4,2026-05-09 12:38:52,Windows 10.0.26200,15.53,9.34,6.19,39.9,194,dwm.exe,1844,356.3,MsMpEng.exe,4880,279.4,explorer.exe,8516,218.5
5,2026-05-09 12:39:12,Windows 10.0.26200,15.53,9.34,6.18,39.8,194,dwm.exe,1844,356.3,MsMpEng.exe,4880,279.0,explorer.exe,8516,218.5
6,2026-05-09 12:39:32,Windows 10.0.26200,15.53,9.28,6.25,40.2,200,dwm.exe,1844,356.3,MsMpEng.exe,4880,279.5,explorer.exe,8516,218.4
7,2026-05-09 12:39:53,Windows 10.0.26200,15.53,9.29,6.24,40.2,200,dwm.exe,1844,356.4,MsMpEng.exe,4880,279.4,explorer.exe,8516,219.4
8,2026-05-09 12:40:13,Windows 10.0.26200,15.53,9.29,6.24,40.2,200,dwm.exe,1844,356.4,MsMpEng.exe,4880,279.3,explorer.exe,8516,219.4
9,2026-05-09 12:40:33,Windows 10.0.26200,15.53,9.37,6.16,39.6,196,dwm.exe,1844,356.4,MsMpEng.exe,4880,271.9,explorer.exe,8516,219.4
10,2026-05-09 12:40:53,Windows 10.0.26200,15.53,9.37,6.15,39.6,194,dwm.exe,1844,356.4,MsMpEng.exe,4880,272.2,explorer.exe,8516,218.7
11,2026-05-09 12:41:13,Windows 10.0.26200,15.53,9.38,6.15,39.6,194,dwm.exe,1844,356.4,MsMpEng.exe,4880,272.5,explorer.exe,8516,218.8
12,2026-05-09 12:41:34,Windows 10.0.26200,15.53,9.38,6.15,39.6,194,dwm.exe,1844,356.5,MsMpEng.exe,4880,272.3,explorer.exe,8516,218.8
13,2026-05-09 12:41:54,Windows 10.0.26200,15.53,9.38,6.14,39.6,194,dwm.exe,1844,356.6,MsMpEng.exe,4880,271.8,explorer.exe,8516,218.7
14,2026-05-09 12:42:14,Windows 10.0.26200,15.53,9.39,6.14,39.5,193,dwm.exe,1844,356.5,MsMpEng.exe,4880,271.8,explorer.exe,8516,218.8
15,2026-05-09 12:42:34,Windows 10.0.26200,15.53,9.44,6.09,39.2,193,dwm.exe,1844,353.4,MsMpEng.exe,4880,272.5,explorer.exe,8516,218.7
16,2026-05-09 12:42:55,Windows 10.0.26200,15.53,9.44,6.09,39.2,193,dwm.exe,1844,353.5,MsMpEng.exe,4880,271.8,explorer.exe,8516,218.8
17,2026-05-09 12:43:15,Windows 10.0.26200,15.53,9.13,6.4,41.2,211,dwm.exe,1844,353.5,MsMpEng.exe,4880,278.6,explorer.exe,8516,224.3
18,2026-05-09 12:43:35,Windows 10.0.26200,15.53,9.08,6.44,41.5,209,dwm.exe,1844,353.5,MsMpEng.exe,4880,278.5,explorer.exe,8516,224.4
19,2026-05-09 12:43:56,Windows 10.0.26200,15.53,9.19,6.34,40.8,207,dwm.exe,1844,353.5,MsMpEng.exe,4880,278.5,explorer.exe,8516,225.1
20,2026-05-09 12:44:16,Windows 10.0.26200,15.53,9.27,6.26,40.3,206,dwm.exe,1844,353.6,MsMpEng.exe,4880,277.2,explorer.exe,8516,225.3
21,2026-05-09 12:44:36,Windows 10.0.26200,15.53,9.28,6.25,40.2,205,dwm.exe,1844,353.6,MsMpEng.exe,4880,277.0,explorer.exe,8516,225.6
22,2026-05-09 12:44:57,Windows 10.0.26200,15.53,9.29,6.24,40.2,204,dwm.exe,1844,353.6,MsMpEng.exe,4880,276.9,explorer.exe,8516,225.4
23,2026-05-09 12:45:17,Windows 10.0.26200,15.53,9.34,6.19,39.9,200,dwm.exe,1844,353.6,MsMpEng.exe,4880,275.2,explorer.exe,8516,225.3
24,2026-05-09 12:45:37,Windows 10.0.26200,15.53,9.34,6.18,39.8,199,dwm.exe,1844,353.6,MsMpEng.exe,4880,274.3,explorer.exe,8516,225.3
25,2026-05-09 12:45:57,Windows 10.0.26200,15.53,9.36,6.17,39.7,198,dwm.exe,1844,353.8,MsMpEng.exe,4880,273.7,explorer.exe,8516,223.6
26,2026-05-09 12:46:18,Windows 10.0.26200,15.53,9.18,6.35,40.9,215,dwm.exe,1844,353.8,MsMpEng.exe,4880,271.6,explorer.exe,8516,224.1
27,2026-05-09 12:46:38,Windows 10.0.26200,15.53,9.2,6.33,40.8,214,dwm.exe,1844,353.8,MsMpEng.exe,4880,281.9,explorer.exe,8516,224.1
28,2026-05-09 12:46:58,Windows 10.0.26200,15.53,9.21,6.32,40.7,213,dwm.exe,1844,353.7,MsMpEng.exe,4880,281.8,explorer.exe,8516,224.0
29,2026-05-09 12:47:18,Windows 10.0.26200,15.53,9.33,6.2,39.9,200,dwm.exe,1844,353.7,MsMpEng.exe,4880,281.9,explorer.exe,8516,224.0
30,2026-05-09 12:47:39,Windows 10.0.26200,15.53,9.34,6.19,39.8,197,dwm.exe,1844,353.8,MsMpEng.exe,4880,279.8,explorer.exe,8516,224.0
