pessoa,so_label,experimento,medicao,timestamp,uso_percent,ram_usada_gb,ram_total_gb,num_processos,top1_nome,top1_ram_mb
carolina,Ubuntu 24.04,experimento_20260509_113430,1,2026-05-09 11:34:31,15.4,1.76,15.35,355,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,2,2026-05-09 11:34:51,15.6,1.77,15.35,354,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,3,2026-05-09 11:35:11,15.6,1.77,15.35,354,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,4,2026-05-09 11:35:31,15.6,1.77,15.35,354,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,5,2026-05-09 11:35:51,15.5,1.76,15.35,354,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,6,2026-05-09 11:36:11,15.5,1.76,15.35,355,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,7,2026-05-09 11:36:31,15.5,1.76,15.35,353,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,8,2026-05-09 11:36:51,15.5,1.76,15.35,325,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,9,2026-05-09 11:37:11,15.5,1.76,15.35,325,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,10,2026-05-09 11:37:31,15.5,1.76,15.35,325,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,11,2026-05-09 11:37:51,15.5,1.76,15.35,325,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,12,2026-05-09 11:38:11,15.5,1.76,15.35,325,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,13,2026-05-09 11:38:31,15.4,1.76,15.35,325,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,14,2026-05-09 11:38:51,15.4,1.76,15.35,317,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,15,2026-05-09 11:39:11,15.4,1.75,15.35,317,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,16,2026-05-09 11:39:31,15.4,1.75,15.35,317,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,17,2026-05-09 11:39:51,15.4,1.76,15.35,316,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,18,2026-05-09 11:40:11,15.5,1.76,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,19,2026-05-09 11:40:31,15.5,1.77,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,20,2026-05-09 11:40:51,15.5,1.77,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,21,2026-05-09 11:41:11,15.5,1.77,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,22,2026-05-09 11:41:31,15.5,1.77,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,23,2026-05-09 11:41:51,15.5,1.77,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,24,2026-05-09 11:42:11,15.4,1.76,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,25,2026-05-09 11:42:31,15.4,1.76,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,26,2026-05-09 11:42:51,15.5,1.76,15.35,318,mysqld,389.4
carolina,Ubuntu 24.04,experimento_20260509_113430,27,2026-05-09 11:43:11,15.5,1.77,15.35,318,mysqld,389.4
