grupo,n,media,mediana,desvio_padrao,erro_padrao,ic95_inferior,ic95_superior,min,q1,q3,max,iqr,cv_percent
carolina / Ubuntu 24.04,30,15.4833,15.5,0.0592,0.0108,15.4612,15.5054,15.4,15.425,15.5,15.6,0.075,0.38
carolina / Windows 11,30,35.2167,32.4,5.0959,0.9304,33.3138,37.1195,31.6,32.0,34.425,44.5,2.425,14.47
luiza / Ubuntu 24.04,30,23.95,23.8,0.6174,0.1127,23.7195,24.1805,23.7,23.8,23.9,27.2,0.1,2.58
luiza / Windows 11,30,64.8933,63.55,4.437,0.8101,63.2365,66.5501,59.8,62.8,66.375,81.8,3.575,6.84
nic / Fedora 44,30,15.6867,15.7,0.2596,0.0474,15.5897,15.7836,15.0,15.7,15.8,16.0,0.1,1.66
nic / Windows 11,30,40.0567,39.9,0.5587,0.102,39.848,40.2653,39.2,39.625,40.2,41.5,0.575,1.39
GLOBAL / Fedora 44,30,15.6867,15.7,0.2596,0.0474,15.5897,15.7836,15.0,15.7,15.8,16.0,0.1,1.66
GLOBAL / Ubuntu 24.04,60,19.7167,19.65,4.2911,0.554,18.6081,20.8252,15.4,15.5,23.8,27.2,8.3,21.76
GLOBAL / Windows 11,90,46.7222,40.2,13.6336,1.4371,43.8667,49.5777,31.6,35.675,62.8,81.8,27.125,29.18
GLOBAL / Linux,90,18.3733,15.7,3.9848,0.42,17.5387,19.2079,15.0,15.5,23.8,27.2,8.3,21.69
GLOBAL / Windows,90,46.7222,40.2,13.6336,1.4371,43.8667,49.5777,31.6,35.675,62.8,81.8,27.125,29.18
